time,balance,unrealizedPL,pl,benchmark
2024-04-16 11:16:21,96738.4101,-756.6245,-3253.3286,1.06071
2024-04-16 11:16:51,96738.4101,-731.9379,-3253.3286,1.0608
2024-04-16 11:17:21,96738.4101,-733.2809,-3253.3286,1.06081
2024-04-16 11:17:51,96738.4101,-729.5573,-3253.3286,1.06081
2024-04-16 11:18:21,96738.4101,-731.4452,-3253.3286,1.0608
2024-04-16 11:18:51,96738.4101,-728.257,-3253.3286,1.0608
2024-04-16 11:19:21,96738.4101,-697.9511,-3253.3286,1.06091
2024-04-16 11:19:51,96738.4101,-699.3249,-3253.3286,1.06091
2024-04-16 11:20:21,96738.4101,-701.5275,-3253.3286,1.06091
2024-04-16 11:20:51,96738.4101,-690.9884,-3253.3286,1.06092
2024-04-16 11:21:21,96738.4101,-677.6565,-3253.3286,1.06097
2024-04-16 11:21:51,96738.4101,-657.5576,-3253.3286,1.06101
2024-04-16 11:22:22,96738.4101,-641.56,-3253.3286,1.06107
2024-04-16 11:22:52,96738.4101,-648.4181,-3253.3286,1.06101
2024-04-16 11:23:22,96738.4101,-661.1903,-3253.3286,1.061
2024-04-16 11:24:45,96738.4101,-649.4507,-3253.3286,1.06108
2024-04-16 11:25:46,96738.4101,-654.1047,-3253.3286,1.06107
2024-04-16 11:25:51,96738.4101,-649.996,-3253.3286,1.06107
2024-04-16 11:25:59,96738.4101,-651.8307,-3253.3286,1.06107
2024-04-16 11:26:30,96738.4101,-652.7057,-3253.3286,1.06107
2024-04-16 11:27:00,96738.4101,-650.9347,-3253.3286,1.06107
2024-04-16 11:27:29,96738.4101,-629.112,-3253.3286,1.06107
2024-04-16 11:28:00,96738.4101,-629.5482,-3253.3286,1.06112
2024-04-16 11:28:45,96738.4101,-631.3255,-3253.3286,1.06112
2024-04-16 11:29:45,96738.4101,-619.5302,-3253.3286,1.06117
2024-04-16 11:30:46,96738.4101,-639.6618,-3253.3286,1.06112
2024-04-16 11:31:45,96738.4101,-653.4379,-3253.3286,1.06107
2024-04-16 11:32:45,96738.4101,-659.0467,-3253.3286,1.06107
2024-04-16 11:33:45,96738.4101,-658.8411,-3253.3286,1.06107
2024-04-16 11:34:46,96738.4101,-668.0897,-3253.3286,1.06103
2024-04-16 11:35:46,96738.4101,-643.614,-3253.3286,1.06117
2024-04-16 11:36:46,96738.4101,-633.0584,-3253.3286,1.06121
2024-04-16 11:37:45,96738.4101,-632.253,-3253.3286,1.06119
2024-04-16 11:38:46,96738.4101,-633.3476,-3253.3286,1.06112
2024-04-16 11:39:46,96738.4101,-642.9083,-3253.3286,1.06109
2024-04-16 11:40:45,96738.4101,-636.0042,-3253.3286,1.06114
2024-04-16 11:41:45,96738.4101,-655.5402,-3253.3286,1.06109
2024-04-16 11:42:45,96738.4101,-692.8774,-3253.3286,1.06091
2024-04-16 11:43:46,96738.4101,-695.9247,-3253.3286,1.06095
2024-04-16 11:44:46,96738.4101,-660.759,-3253.3286,1.06102
2024-04-16 11:45:46,96738.4101,-669.7176,-3253.3286,1.06099
2024-04-16 11:46:45,96738.4101,-691.0064,-3253.3286,1.06101
2024-04-16 11:47:46,96738.4101,-653.1328,-3253.3286,1.06108
2024-04-16 11:48:45,96738.4101,-698.0212,-3253.3286,1.06103
2024-04-16 11:49:46,96738.4101,-715.5983,-3253.3286,1.06104
2024-04-16 11:50:45,96738.4101,-705.7849,-3253.3286,1.06107
2024-04-16 11:51:46,96738.4101,-768.2204,-3253.3286,1.06105
2024-04-16 11:52:46,96738.4101,-776.1164,-3253.3286,1.06105
2024-04-16 11:53:46,96738.4101,-914.6896,-3253.3286,1.06089
2024-04-16 11:54:46,96738.4101,-864.7363,-3253.3286,1.06094
2024-04-16 11:55:45,96738.4101,-871.3316,-3253.3286,1.06094
2024-04-16 11:56:45,96738.4101,-861.3876,-3253.3286,1.06095
2024-04-16 11:57:45,96738.4101,-837.9495,-3253.3286,1.06101
2024-04-16 11:58:45,96635.3785,-683.5092,-3356.3602,1.06107
2024-04-16 11:59:45,96601.0366,-626.3003,-3390.7021,1.06109
2024-04-16 12:00:28,96601.0366,-601.3574,-3390.7021,1.06115
2024-04-16 12:00:30,96601.0366,-602.7175,-3390.7021,1.06114
2024-04-16 12:01:00,96601.0366,-490.7099,-3390.7021,1.06121
2024-04-16 12:01:45,96601.0366,-589.8191,-3390.7021,1.06115
2024-04-16 12:02:45,96601.0366,-698.4426,-3390.7021,1.06111
2024-04-16 12:03:46,96601.0366,-642.4778,-3390.7021,1.06115
2024-04-16 12:04:45,96601.0366,-693.665,-3390.7021,1.06111
2024-04-16 12:05:46,96601.0366,-517.0946,-3390.7021,1.06126
